Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A03001B_001,SE_A03001B_002,SE_A03001B_003,SE_A03001B_004,SE_A03001B_005,SE_A03001B_006,SE_A03001B_007,SE_A03001B_008,SE_A03001B_009,SE_A03001B_010,SE_A14016_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
06037701902,14000US06037701902,Census Tract 7019.02,"Census Tract 7019.02, Los Angeles County, California",ca,140,0,ACSSF,6002,06,037,701902,2867,2423,204,0,141,0,0,99,2142,281,55054,2867,912,854,4598,811,937,1748,2850
06037702002,14000US06037702002,Census Tract 7020.02,"Census Tract 7020.02, Los Angeles County, California",ca,140,0,ACSSF,6003,06,037,702002,2539,2083,86,18,179,0,93,80,1748,446,64650,2539,543,672,6357,657,1127,1784,4573
06037702102,14000US06037702102,Census Tract 7021.02,"Census Tract 7021.02, Los Angeles County, California",ca,140,0,ACSSF,6004,06,037,702102,2994,2382,120,18,213,0,69,192,2032,452,79768,2994,593,618,6020,595,861,1456,4564
06037702201,14000US06037702201,Census Tract 7022.01,"Census Tract 7022.01, Los Angeles County, California",ca,140,0,ACSSF,6005,06,037,702201,1285,963,54,0,104,16,46,102,813,196,82475,1285,289,321,4370,425,326,751,3619
06037702202,14000US06037702202,Census Tract 7022.02,"Census Tract 7022.02, Los Angeles County, California",ca,140,0,ACSSF,6006,06,037,702202,799,650,49,0,24,0,46,30,463,243,81635,799,123,182,4000,278,213,491,3509
06037702300,14000US06037702300,Census Tract 7023,"Census Tract 7023, Los Angeles County, California",ca,140,0,ACSSF,6007,06,037,702300,1538,1256,75,32,48,0,31,96,1086,217,63889,1538,321,409,6633,782,726,1508,5125
06037702400,14000US06037702400,Census Tract 7024,"Census Tract 7024, Los Angeles County, California",ca,140,0,ACSSF,6008,06,037,702400,1305,1006,46,0,181,0,50,22,736,320,76008,1305,237,354,4402,386,339,725,3677
06037702501,14000US06037702501,Census Tract 7025.01,"Census Tract 7025.01, Los Angeles County, California",ca,140,0,ACSSF,6009,06,037,702501,831,627,72,0,53,0,34,45,480,181,90264,831,170,31,4757,104,217,321,4436
06037702502,14000US06037702502,Census Tract 7025.02,"Census Tract 7025.02, Los Angeles County, California",ca,140,0,ACSSF,6010,06,037,702502,669,347,124,0,73,0,104,21,290,189,75980,669,207,15,3983,375,261,636,3347
06037702600,14000US06037702600,Census Tract 7026,"Census Tract 7026, Los Angeles County, California",ca,140,0,ACSSF,6011,06,037,702600,515,278,37,0,122,0,0,78,154,159,61964,515,112,145,6139,270,495,765,5374
06037702700,14000US06037702700,Census Tract 7027,"Census Tract 7027, Los Angeles County, California",ca,140,0,ACSSF,6012,06,037,702700,289,243,0,0,9,0,8,29,165,86,72634,289,64,40,3513,163,163,326,3187
06037702801,14000US06037702801,Census Tract 7028.01,"Census Tract 7028.01, Los Angeles County, California",ca,140,0,ACSSF,6013,06,037,702801,1272,855,66,0,259,0,73,19,543,385,50758,1272,350,419,4978,737,1065,1802,3176
06037702802,14000US06037702802,Census Tract 7028.02,"Census Tract 7028.02, Los Angeles County, California",ca,140,0,ACSSF,6014,06,037,702802,479,340,17,0,31,0,41,50,231,176,83942,479,99,98,2316,125,456,581,1735
06037702803,14000US06037702803,Census Tract 7028.03,"Census Tract 7028.03, Los Angeles County, California",ca,140,0,ACSSF,6015,06,037,702803,822,491,9,14,129,0,117,62,358,312,62455,822,221,287,3066,395,745,1140,1926
06037702901,14000US06037702901,Census Tract 7029.01,"Census Tract 7029.01, Los Angeles County, California",ca,140,0,ACSSF,6016,06,037,702901,5176,3945,318,0,471,0,279,163,3617,525,113150,5176,1355,1261,9751,1401,273,1674,8077
06037703001,14000US06037703001,Census Tract 7030.01,"Census Tract 7030.01, Los Angeles County, California",ca,140,0,ACSSF,6017,06,037,703001,1474,613,332,0,402,0,74,53,493,166,105685,1474,125,412,6288,326,393,719,5569
06037703002,14000US06037703002,Census Tract 7030.02,"Census Tract 7030.02, Los Angeles County, California",ca,140,0,ACSSF,6018,06,037,703002,680,89,564,13,0,0,0,14,89,13,71649,680,216,229,7156,636,491,1127,6029
06037703100,14000US06037703100,Census Tract 7031,"Census Tract 7031, Los Angeles County, California",ca,140,0,ACSSF,6019,06,037,703100,721,71,576,14,18,0,25,17,71,44,53921,721,205,241,5907,445,415,860,5047
